PG Count,GSM,Binding ,Paper,Spine
454,55,paperback,crème,25.57
455,55,paperback,crème,25.625
456,55,paperback,crème,25.68
457,55,paperback,crème,25.735
458,55,paperback,crème,25.79
459,55,paperback,crème,25.845
460,55,paperback,crème,25.9
461,55,paperback,crème,25.955
462,55,paperback,crème,26.01
463,55,paperback,crème,26.065
464,55,paperback,crème,26.12
465,55,paperback,crème,26.175
466,55,paperback,crème,26.23
467,55,paperback,crème,26.285
468,55,paperback,crème,26.34
469,55,paperback,crème,26.395
470,55,paperback,crème,26.45
471,55,paperback,crème,26.505
472,55,paperback,crème,26.56
473,55,paperback,crème,26.615
474,55,paperback,crème,26.67
475,55,paperback,crème,26.725
476,55,paperback,crème,26.78
477,55,paperback,crème,26.835
478,55,paperback,crème,26.89
479,55,paperback,crème,26.945
480,55,paperback,crème,27
481,55,paperback,crème,27.055
482,55,paperback,crème,27.11
483,55,paperback,crème,27.165
484,55,paperback,crème,27.22
485,55,paperback,crème,27.275
486,55,paperback,crème,27.33
487,55,paperback,crème,27.385
488,55,paperback,crème,27.44
489,55,paperback,crème,27.495
490,55,paperback,crème,27.55
491,55,paperback,crème,27.605
492,55,paperback,crème,27.66
493,55,paperback,crème,27.715
494,55,paperback,crème,27.77
495,55,paperback,crème,27.825
496,55,paperback,crème,27.88
497,55,paperback,crème,27.935
498,55,paperback,crème,27.99
499,55,paperback,crème,28.045
500,55,paperback,crème,28.1
501,55,paperback,crème,28.155
502,55,paperback,crème,28.21
503,55,paperback,crème,28.265
504,55,paperback,crème,28.32
505,55,paperback,crème,28.375
506,55,paperback,crème,28.43
507,55,paperback,crème,28.485
508,55,paperback,crème,28.54
509,55,paperback,crème,28.595
510,55,paperback,crème,28.65
511,55,paperback,crème,28.705
512,55,paperback,crème,28.76
513,55,paperback,crème,28.815
514,55,paperback,crème,28.87
515,55,paperback,crème,28.925
516,55,paperback,crème,28.98
517,55,paperback,crème,29.035
518,55,paperback,crème,29.09
519,55,paperback,crème,29.145
520,55,paperback,crème,29.2
521,55,paperback,crème,29.255
522,55,paperback,crème,29.31
523,55,paperback,crème,29.365
524,55,paperback,crème,29.42
525,55,paperback,crème,29.475
526,55,paperback,crème,29.53
527,55,paperback,crème,29.585
528,55,paperback,crème,29.64
529,55,paperback,crème,29.695
530,55,paperback,crème,29.75
531,55,paperback,crème,29.805
532,55,paperback,crème,29.86
533,55,paperback,crème,29.915
534,55,paperback,crème,29.97
535,55,paperback,crème,30.025
536,55,paperback,crème,30.08
537,55,paperback,crème,30.135
538,55,paperback,crème,30.19
539,55,paperback,crème,30.245
540,55,paperback,crème,30.3
541,55,paperback,crème,30.355
542,55,paperback,crème,30.41
543,55,paperback,crème,30.465
544,55,paperback,crème,30.52
545,55,paperback,crème,30.575
546,55,paperback,crème,30.63
547,55,paperback,crème,30.685
548,55,paperback,crème,30.74
549,55,paperback,crème,30.795
550,55,paperback,crème,30.85
551,55,paperback,crème,30.905
552,55,paperback,crème,30.96
553,55,paperback,crème,31.015
554,55,paperback,crème,31.07
555,55,paperback,crème,31.125
556,55,paperback,crème,31.18
557,55,paperback,crème,31.235
558,55,paperback,crème,31.29
559,55,paperback,crème,31.345
560,55,paperback,crème,31.4
561,55,paperback,crème,31.455
562,55,paperback,crème,31.51
563,55,paperback,crème,31.565
564,55,paperback,crème,31.62
565,55,paperback,crème,31.675
566,55,paperback,crème,31.73
567,55,paperback,crème,31.785
568,55,paperback,crème,31.84
569,55,paperback,crème,31.895
570,55,paperback,crème,31.95
571,55,paperback,crème,32.005
572,55,paperback,crème,32.06
573,55,paperback,crème,32.115
574,55,paperback,crème,32.17
575,55,paperback,crème,32.225
576,55,paperback,crème,32.28
577,55,paperback,crème,32.335
578,55,paperback,crème,32.39
579,55,paperback,crème,32.445
580,55,paperback,crème,32.5
581,55,paperback,crème,32.555
582,55,paperback,crème,32.61
583,55,paperback,crème,32.665
584,55,paperback,crème,32.72
585,55,paperback,crème,32.775
586,55,paperback,crème,32.83
587,55,paperback,crème,32.885
588,55,paperback,crème,32.94
589,55,paperback,crème,32.995
590,55,paperback,crème,33.05
591,55,paperback,crème,33.105
592,55,paperback,crème,33.16
593,55,paperback,crème,33.215
594,55,paperback,crème,33.27
595,55,paperback,crème,33.325
596,55,paperback,crème,33.38
597,55,paperback,crème,33.435
598,55,paperback,crème,33.49
599,55,paperback,crème,33.545
600,55,paperback,crème,33.6
601,55,paperback,crème,33.655
602,55,paperback,crème,33.71
603,55,paperback,crème,33.765
604,55,paperback,crème,33.82
605,55,paperback,crème,33.875
606,55,paperback,crème,33.93
607,55,paperback,crème,33.985
608,55,paperback,crème,34.04
609,55,paperback,crème,34.095
610,55,paperback,crème,34.15
611,55,paperback,crème,34.205
612,55,paperback,crème,34.26
613,55,paperback,crème,34.315
614,55,paperback,crème,34.37
615,55,paperback,crème,34.425
616,55,paperback,crème,34.48
617,55,paperback,crème,34.535
